Config Number,t2,a,w2,t3,w1,t1,Mass (kg),Max Von Mises Stress (MPa),Max Displacement (mm)
71,32,72,240,60,180,50,427.014 kg,4.07986 MPa,0.0296593 mm
72,32,72,240,60,180,60,457.254 kg,3.61412 MPa,0.0253355 mm
73,32,72,240,72,120,40,404.838 kg,4.39416 MPa,0.0362618 mm
74,32,72,240,72,120,50,424.998 kg,3.98429 MPa,0.0307803 mm
75,32,72,240,72,120,60,445.158 kg,3.62348 MPa,0.0264392 mm
76,32,72,240,72,150,40,424.998 kg,3.9589 MPa,0.0326906 mm
77,32,72,240,72,150,50,450.198 kg,3.50926 MPa,0.027498 mm
78,32,72,240,72,150,60,475.398 kg,3.22025 MPa,0.0236064 mm
79,32,72,240,72,180,40,445.158 kg,3.71442 MPa,0.0298686 mm
80,32,72,240,72,180,50,475.398 kg,3.21589 MPa,0.0252834 mm
81,32,72,240,72,180,60,505.638 kg,4.23382 MPa,0.0216534 mm
82,32,90,160,48,120,40,254.839 kg,7.30911 MPa,0.0496433 mm
83,32,90,160,48,120,50,274.999 kg,9.75987 MPa,0.0412933 mm
84,32,90,160,48,120,60,295.159 kg,9.99104 MPa,0.0349789 mm
85,32,90,160,48,150,40,274.999 kg,7.32148 MPa,0.0442786 mm
86,32,90,160,48,150,50,300.199 kg,8.36349 MPa,0.0367906 mm
87,32,90,160,48,150,60,325.399 kg,8.39301 MPa,0.0311207 mm
88,32,90,160,48,180,40,295.159 kg,7.93413 MPa,0.0404841 mm
89,32,90,160,48,180,50,325.399 kg,6.91876 MPa,0.0333446 mm
90,32,90,160,48,180,60,355.639 kg,7.34293 MPa,0.028367 mm
91,32,90,160,60,120,40,287.095 kg,8.78729 MPa,0.0411668 mm
92,32,90,160,60,120,50,307.255 kg,5.65469 MPa,0.0346062 mm
93,32,90,160,60,120,60,327.415 kg,4.09224 MPa,0.0296688 mm
94,32,90,160,60,150,40,307.255 kg,5.13708 MPa,0.0369426 mm
95,32,90,160,60,150,50,332.455 kg,5.27014 MPa,0.0307726 mm
96,32,90,160,60,150,60,357.655 kg,3.761 MPa,0.0263575 mm
97,32,90,160,60,180,40,327.415 kg,4.8372 MPa,0.0338219 mm
98,32,90,160,60,180,50,357.655 kg,4.77279 MPa,0.0281481 mm
99,32,90,160,60,180,60,387.895 kg,3.83608 MPa,0.0240587 mm
100,32,90,160,72,120,40,319.351 kg,5.08934 MPa,0.0348583 mm
101,32,90,160,72,120,50,339.511 kg,3.6757 MPa,0.028031 mm
102,32,90,160,72,120,60,359.671 kg,3.25284 MPa,0.0242637 mm
103,32,90,160,72,150,40,339.511 kg,4.71803 MPa,0.0312024 mm
104,32,90,160,72,150,50,364.711 kg,3.2951 MPa,0.0250716 mm
105,32,90,160,72,150,60,389.911 kg,3.03118 MPa,0.0216523 mm
106,32,90,160,72,180,40,359.671 kg,4.42217 MPa,0.0286389 mm
107,32,90,160,72,180,50,389.911 kg,3.28874 MPa,0.0231352 mm
108,32,90,160,72,180,60,420.151 kg,2.74333 MPa,0.0198395 mm
109,32,90,200,48,120,40,286.293 kg,11.342 MPa,0.0468937 mm
110,32,90,200,48,120,50,306.453 kg,10.0727 MPa,0.0392792 mm
111,32,90,200,48,120,60,326.613 kg,8.3477 MPa,0.033532 mm
112,32,90,200,48,150,40,306.453 kg,10.4485 MPa,0.0418103 mm
113,32,90,200,48,150,50,331.653 kg,9.03963 MPa,0.0349534 mm
114,32,90,200,48,150,60,356.853 kg,7.28237 MPa,0.029761 mm
115,32,90,200,48,180,40,326.613 kg,9.79664 MPa,0.0382631 mm
116,32,90,200,48,180,50,356.853 kg,7.75294 MPa,0.0318658 mm
117,32,90,200,48,180,60,387.093 kg,7.33426 MPa,0.0270957 mm
118,32,90,200,60,120,40,326.613 kg,6.19984 MPa,0.0390582 mm
119,32,90,200,60,120,50,346.773 kg,4.11815 MPa,0.0331632 mm
120,32,90,200,60,120,60,366.933 kg,3.73448 MPa,0.028355 mm
121,32,90,200,60,150,40,346.773 kg,4.23027 MPa,0.0350603 mm
122,32,90,200,60,150,50,371.973 kg,4.1366 MPa,0.0294587 mm
123,32,90,200,60,150,60,397.173 kg,4.28365 MPa,0.0251775 mm
124,32,90,200,60,180,40,366.933 kg,4.43385 MPa,0.0321408 mm
125,32,90,200,60,180,50,397.173 kg,3.5438 MPa,0.0268872 mm
126,32,90,200,60,180,60,427.413 kg,3.20726 MPa,0.0229463 mm
127,32,90,200,72,120,40,366.933 kg,4.40908 MPa,0.0330636 mm
128,32,90,200,72,120,50,387.093 kg,3.41821 MPa,0.0267091 mm
129,32,90,200,72,120,60,407.253 kg,3.04935 MPa,0.0231412 mm
130,32,90,200,72,150,40,387.093 kg,4.91331 MPa,0.0294513 mm
131,32,90,200,72,150,50,412.293 kg,3.14691 MPa,0.0239009 mm
132,32,90,200,72,150,60,437.493 kg,3.29705 MPa,0.0206414 mm
133,32,90,200,72,180,40,407.253 kg,3.84874 MPa,0.0271764 mm
134,32,90,200,72,180,50,437.493 kg,3.8283 MPa,0.0218476 mm
135,32,90,200,72,180,60,467.733 kg,3.32686 MPa,0.018868 mm
136,32,90,240,48,120,40,317.747 kg,6.57898 MPa,0.0394891 mm
137,32,90,240,48,120,50,337.907 kg,6.71198 MPa,0.0324869 mm
138,32,90,240,48,120,60,358.067 kg,7.33245 MPa,0.028322 mm
139,32,90,240,48,150,40,337.907 kg,8.33099 MPa,0.0362819 mm
140,32,90,240,48,150,50,363.107 kg,6.42103 MPa,0.02933 mm
141,32,90,240,48,150,60,388.307 kg,9.73655 MPa,0.0256945 mm
142,32,90,240,48,180,40,358.067 kg,9.30172 MPa,0.0329199 mm
143,32,90,240,48,180,50,388.307 kg,7.40472 MPa,0.0276834 mm
144,32,90,240,48,180,60,418.547 kg,4.88711 MPa,0.0238743 mm
145,32,90,240,60,120,40,366.131 kg,4.44732 MPa,0.0352188 mm
146,32,90,240,60,120,50,386.291 kg,3.93055 MPa,0.0298973 mm
147,32,90,240,60,120,60,406.451 kg,5.58285 MPa,0.0257366 mm
148,32,90,240,60,150,40,386.291 kg,4.20046 MPa,0.0316456 mm
149,32,90,240,60,150,50,411.491 kg,4.54436 MPa,0.0267072 mm
150,32,90,240,60,150,60,436.691 kg,3.40437 MPa,0.023011 mm
151,32,90,240,60,180,40,406.451 kg,3.96677 MPa,0.028946 mm
152,32,90,240,60,180,50,436.691 kg,4.1081 MPa,0.0243918 mm
153,32,90,240,60,180,60,466.931 kg,4.09176 MPa,0.0209304 mm
